date,symbol,type,amnt,price,current_balance 
1485360000,ZEC,buy,0.2,0.0448,0.9421665134370579 
1485360000,VTC,buy,0.2,3.485e-05,1.1233168635940252 
1485360000,STR,buy,0.2,2.42e-06,4.605103264052253 
1485360000,XRP,buy,0.2,7.24e-06,7.05773099776485 
1485360000,SYS,buy,0.2,9.83e-06,7.061797019138096 
1485360000,ETH,none,0.0,0.011729799999999999,7.061797019138096 
1485367200,ETH,none,0.0,0.01172999,7.061797019138096 
1485374400,ETH,none,0.0,0.01174002,7.061797019138096 
1485381600,ETH,none,0.0,0.01171993,7.061797019138096 
1485388800,ETH,none,0.0,0.011649799999999998,7.061797019138096 
1485396000,ETH,none,0.0,0.01168,7.061797019138096 
1485403200,ETH,none,0.0,0.011637,7.061797019138096 
1485410400,ETH,none,0.0,0.0116915,7.061797019138096 
1485417600,ETH,none,0.0,0.01170997,7.061797019138096 
1485424800,ETH,none,0.0,0.01166142,7.061797019138096 
1485432000,ETH,none,0.0,0.011590000000000001,7.061797019138096 
1485439200,ETH,none,0.0,0.01147826,7.061797019138096 
1485446400,ETH,none,0.0,0.0115,7.061797019138096 
1485453600,ETH,none,0.0,0.0114745,7.061797019138096 
1485460800,ETH,none,0.0,0.01160302,7.061797019138096 
1485468000,ETH,none,0.0,0.01152501,7.061797019138096 
1485475200,ETH,none,0.0,0.0114,7.061797019138096 
1485482400,ETH,none,0.0,0.011434999999999999,7.061797019138096 
1485489600,ETH,none,0.0,0.01142902,7.061797019138096 
1485496800,ETH,none,0.0,0.011396,7.061797019138096 
1485504000,ETH,none,0.0,0.01143006,7.061797019138096 
1485511200,ETH,none,0.0,0.01144166,7.061797019138096 
1485518400,ETH,none,0.0,0.01143001,7.061797019138096 
1485525600,ETH,none,0.0,0.01139,7.061797019138096 
1485532800,ETH,none,0.0,0.01137503,7.061797019138096 
1485540000,ETH,none,0.0,0.011434999999999999,7.061797019138096 
1485547200,ETH,none,0.0,0.011458,7.061797019138096 
1485554400,ETH,none,0.0,0.01145395,7.061797019138096 
1485561600,ETH,none,0.0,0.011454899999999999,7.061797019138096 
1485568800,ETH,none,0.0,0.01144127,7.061797019138096 
1485576000,ETH,none,0.0,0.011448,7.061797019138096 
1485583200,ETH,none,0.0,0.01144798,7.061797019138096 
1485590400,ETH,none,0.0,0.01144033,7.061797019138096 
1485597600,ETH,none,0.0,0.01143301,7.061797019138096 
1485604800,ETH,none,0.0,0.01143999,7.061797019138096 
1485612000,ETH,none,0.0,0.01136501,7.061797019138096 
1485619200,ETH,none,0.0,0.01142,7.061797019138096 
1485626400,ETH,none,0.0,0.01138495,7.061797019138096 
1485633600,ETH,none,0.0,0.011275,7.061797019138096 
1485640800,ETH,none,0.0,0.011481,7.061797019138096 
1485648000,ETH,none,0.0,0.01142031,7.061797019138096 
1485655200,ETH,none,0.0,0.01141924,7.061797019138096 
1485662400,ETH,none,0.0,0.011376,7.061797019138096 
1485669600,ETH,none,0.0,0.01142736,7.061797019138096 
1485676800,ETH,none,0.0,0.01138013,7.061797019138096 
1485684000,ETH,none,0.0,0.01143815,7.061797019138096 
1485691200,ETH,none,0.0,0.01138501,7.061797019138096 
1485698400,ETH,none,0.0,0.01139,7.061797019138096 
1485705600,ETH,none,0.0,0.01140001,7.061797019138096 
1485712800,ETH,none,0.0,0.01138998,7.061797019138096 
1485720000,ETH,none,0.0,0.01135904,7.061797019138096 
1485727200,ETH,none,0.0,0.011426500000000001,7.061797019138096 
1485734400,ETH,none,0.0,0.0114,7.061797019138096 
1485741600,ETH,none,0.0,0.01138005,7.061797019138096 
1485748800,ETH,none,0.0,0.01139355,7.061797019138096 
1485756000,ETH,none,0.0,0.01138405,7.061797019138096 
1485763200,ETH,none,0.0,0.011430500000000001,7.061797019138096 
1485770400,ETH,none,0.0,0.0114299,7.061797019138096 
1485777600,ETH,none,0.0,0.01139001,7.061797019138096 
1485784800,ETH,none,0.0,0.01138,7.061797019138096 
1485792000,ETH,none,0.0,0.01150117,7.061797019138096 
1485799200,ETH,none,0.0,0.0115,7.061797019138096 
1485806400,ETH,none,0.0,0.01157298,7.061797019138096 
1485813600,ETH,none,0.0,0.01146999,7.061797019138096 
1485820800,ETH,none,0.0,0.01146,7.061797019138096 
1485828000,ETH,none,0.0,0.01144002,7.061797019138096 
1485835200,ETH,none,0.0,0.01144305,7.061797019138096 
1485842400,ETH,none,0.0,0.011351100000000001,7.061797019138096 
1485849600,ETH,none,0.0,0.01130101,7.061797019138096 
1485856800,ETH,none,0.0,0.01127868,7.061797019138096 
1485864000,ETH,none,0.0,0.01107996,7.061797019138096 
1485871200,ETH,none,0.0,0.01117433,7.061797019138096 
1485878400,ETH,none,0.0,0.01113991,7.061797019138096 
1485885600,ETH,none,0.0,0.01122001,7.061797019138096 
1485892800,ETH,none,0.0,0.01114459,7.061797019138096 
1485900000,ETH,none,0.0,0.01104601,7.061797019138096 
1485907200,ETH,none,0.0,0.011003,7.061797019138096 
1485914400,ETH,none,0.0,0.01109875,7.061797019138096 
1485921600,ETH,none,0.0,0.01102912,7.061797019138096 
1485928800,ETH,none,0.0,0.0109847,7.061797019138096 
1485936000,ETH,none,0.0,0.01097001,7.061797019138096 
1485943200,ETH,none,0.0,0.01108295,7.061797019138096 
1485950400,ETH,none,0.0,0.0109,7.061797019138096 
1485957600,ETH,none,0.0,0.01083072,7.061797019138096 
1485964800,ETH,none,0.0,0.01087008,7.061797019138096 
1485972000,ETH,none,0.0,0.010911,7.061797019138096 
1485979200,ETH,none,0.0,0.01094216,7.061797019138096 
1485986400,ETH,none,0.0,0.01082706,7.061797019138096 
1485993600,ETH,none,0.0,0.010719,7.061797019138096 
1486000800,ETH,none,0.0,0.01075717,7.061797019138096 
1486008000,ETH,none,0.0,0.010735,7.061797019138096 
1486015200,ETH,none,0.0,0.01077,7.061797019138096 
1486022400,ETH,none,0.0,0.0107,7.061797019138096 
1486029600,ETH,none,0.0,0.01067138,7.061797019138096 
1486036800,ETH,none,0.0,0.01069999,7.061797019138096 
1486044000,ETH,none,0.0,0.01065902,7.061797019138096 
1486051200,ETH,none,0.0,0.01076999,7.061797019138096 
1486058400,ETH,none,0.0,0.01077731,7.061797019138096 
1486065600,ETH,none,0.0,0.01069999,7.061797019138096 
1486072800,ETH,none,0.0,0.01068001,7.061797019138096 
1486080000,ETH,none,0.0,0.010601000000000001,7.061797019138096 
