,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_vol_13,avg_vol_34,avg_close_3,avg_close_13,avg_close_34
0,0.00062891,1552914661,0.00062891,0.00062891,0.00062891,0.0,0.0,0.00062891,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
1,0.00062457,1552917600,0.00062892,0.00062377,0.0006251,53.40393604,0.03334637,0.00062441,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
2,0.00062281,1552924800,0.0006243,0.00061783,0.0006243,190.82739634,0.11867353,0.00062188,0.0506733,-99999.0,-99999.0,0.0006254300000000001,-99999.0,-99999.0
3,0.00062101,1552932000,0.00062281,0.0006209,0.00062281,98.41804262,0.0611209,0.00062103,0.07104693333333333,-99999.0,-99999.0,0.0006227966666666668,-99999.0,-99999.0
4,0.00062101,1552939200,0.00062101,0.00062101,0.00062101,0.39803713,0.00024718,0.00062101,0.060013870000000004,-99999.0,-99999.0,0.00062161,-99999.0,-99999.0
5,0.00062101,1552946400,0.00062101,0.00061788,0.00062101,18.05915251,0.01116216,0.00061808,0.024176746666666676,-99999.0,-99999.0,0.00062101,-99999.0,-99999.0
6,0.00062101,1552953600,0.00062101,0.00062101,0.00062101,0.0,0.0,0.00062101,0.0038031133333333417,-99999.0,-99999.0,0.00062101,-99999.0,-99999.0
7,0.00061513,1552960800,0.0006197,0.00061513,0.00061733,20.74498064,0.01279486,0.00061676,0.00798567333333334,-99999.0,-99999.0,0.00061905,-99999.0,-99999.0
8,0.00061803,1552968000,0.00062101,0.00061681,0.00061732,30.41280975,0.0188474,0.00061971,0.010547420000000007,-99999.0,-99999.0,0.0006180566666666667,-99999.0,-99999.0
9,0.000617,1552975200,0.000617,0.000617,0.000617,0.16207456,0.0001,0.000617,0.01058075333333334,-99999.0,-99999.0,0.00061672,-99999.0,-99999.0
10,0.00061696,1552982400,0.00062009,0.00061389,0.00061681,289.3014348,0.17792475,0.00061501,0.06562405,-99999.0,-99999.0,0.0006173299999999999,-99999.0,-99999.0
11,0.00062466,1552989600,0.00063019,0.00061887,0.00061887,220.20065738,0.13841659,0.00062859,0.10548044666666667,-99999.0,-99999.0,0.0006195399999999999,-99999.0,-99999.0
12,0.00062056,1552996800,0.00062465,0.00062009,0.00062215,1656.14795103,1.0344982,0.00062464,0.4502798466666667,0.12362553384615384,-99999.0,0.0006207266666666666,0.0006209746153846154,-99999.0
13,0.00062064,1553004000,0.00062465,0.00062064,0.00062233,604.5112299,0.37528448,0.0006208,0.5160664233333333,0.15249357076923076,-99999.0,0.0006219533333333332,0.0006203384615384616,-99999.0
14,0.00062417,1553011200,0.00062466,0.00062064,0.00062465,65.83163699,0.04100865,0.00062293,0.48359711,0.15308297692307693,-99999.0,0.00062179,0.0006203076923076925,-99999.0
15,0.00062466,1553018400,0.00062466,0.00062466,0.00062466,0.5174977,0.00032326,0.00062466,0.13887212999999998,0.14397911000000002,-99999.0,0.0006231566666666666,0.00062045,-99999.0
16,0.00062466,1553025600,0.00062466,0.00062064,0.00062466,41.60405699,0.02597523,0.00062434,0.02243571333333333,0.14127559692307695,-99999.0,0.0006244966666666666,0.0006207307692307694,-99999.0
17,0.00062466,1553032800,0.00062466,0.00062215,0.00062215,5.2387925,0.00325979,0.00062224,0.009852759999999995,0.14150733615384617,-99999.0,0.00062466,0.0006210115384615387,-99999.0
18,0.000613,1553040000,0.00062326,0.000613,0.00062216,140.81605859,0.08695515,0.0006175,0.03873005666666666,0.1473375661538462,-99999.0,0.0006207733333333333,0.0006203953846153849,-99999.0
