,date,open,high,low,close,volume,avg_vol_3,avg_vol_13,avg_vol_34,avg_close_3,avg_close_13,avg_close_34
0,1525132800000,9246.01000000,9248.99000000,9091.43000000,9110.00000000,1540.83470300,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
1,1525134600000,9110.00000000,9112.99000000,8934.44000000,8955.01000000,3722.96484800,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
2,1525136400000,8955.13000000,9020.99000000,8870.00000000,8929.54000000,2860.18592500,2707.9951586666666,-99999.0,-99999.0,8998.183333333334,-99999.0,-99999.0
3,1525138200000,8930.84000000,8998.74000000,8930.84000000,8994.99000000,1487.69081900,2690.2805306666664,-99999.0,-99999.0,8959.846666666666,-99999.0,-99999.0
4,1525140000000,8994.98000000,9019.51000000,8921.89000000,8979.00000000,1260.52982500,1869.468856333333,-99999.0,-99999.0,8967.843333333332,-99999.0,-99999.0
5,1525141800000,8976.69000000,9046.00000000,8970.00000000,9009.11000000,1053.48402100,1267.234888333333,-99999.0,-99999.0,8994.366666666667,-99999.0,-99999.0
6,1525143600000,9009.11000000,9019.71000000,8950.00000000,8979.99000000,816.08491100,1043.366252333333,-99999.0,-99999.0,8989.366666666667,-99999.0,-99999.0
7,1525145400000,8979.98000000,8980.00000000,8904.99000000,8938.01000000,891.36255800,920.3104966666665,-99999.0,-99999.0,8975.703333333333,-99999.0,-99999.0
8,1525147200000,8938.50000000,8995.22000000,8938.01000000,8970.06000000,578.57423600,762.0072349999997,-99999.0,-99999.0,8962.686666666666,-99999.0,-99999.0
9,1525149000000,8970.07000000,9014.99000000,8966.93000000,8975.02000000,686.46545300,718.8007489999997,-99999.0,-99999.0,8961.03,-99999.0,-99999.0
10,1525150800000,8973.23000000,8979.00000000,8925.47000000,8941.78000000,600.21062300,621.7501039999996,-99999.0,-99999.0,8962.286666666667,-99999.0,-99999.0
11,1525152600000,8941.78000000,8950.00000000,8894.00000000,8930.00000000,776.09815000,687.5914086666663,-99999.0,-99999.0,8948.933333333334,-99999.0,-99999.0
12,1525154400000,8930.02000000,8981.78000000,8930.00000000,8965.98000000,522.83395700,633.0475766666665,1292.101540692308,-99999.0,8945.92,8975.26846153846,-99999.0
13,1525156200000,8965.98000000,8987.78000000,8930.00000000,8975.03000000,434.09631000,577.6761389999998,1206.9678181538463,-99999.0,8957.003333333334,8964.886153846153,-99999.0
14,1525158000000,8975.02000000,9000.76000000,8961.00000000,8994.20000000,709.09138900,555.3405519999999,975.1313982307695,-99999.0,8978.403333333335,8967.900769230768,-99999.0
15,1525159800000,8993.12000000,9022.06000000,8963.97000000,8973.71000000,777.11232700,640.1000086666666,814.894967615385,-99999.0,8980.980000000001,8971.29846153846,-99999.0
16,1525161600000,8980.98000000,9056.27000000,8971.98000000,9047.81000000,829.56993300,771.9245496666666,764.2702840769235,-99999.0,9005.240000000003,8975.361538461537,-99999.0
17,1525163400000,9047.00000000,9076.50000000,9021.33000000,9049.98000000,942.46131400,849.7145246666665,739.8034755384621,-99999.0,9023.833333333338,8980.821538461536,-99999.0
18,1525165200000,9049.97000000,9069.34000000,9009.00000000,9055.00000000,945.12936400,905.7202036666664,731.4685019230775,-99999.0,9050.930000000006,8984.351538461535,-99999.0
19,1525167000000,9055.00000000,9082.08000000,9010.58000000,9040.49000000,723.94328000,870.5113193333331,724.3806841538467,-99999.0,9048.490000000005,8989.005384615382,-99999.0
20,1525168800000,9040.49000000,9045.99000000,8975.10000000,8992.14000000,672.26053600,780.4443933333329,707.5266824615389,-99999.0,9029.210000000005,8993.169230769228,-99999.0
21,1525170600000,8994.99000000,9040.00000000,8992.10000000,9039.00000000,428.69972100,608.3011789999996,695.9978736153851,-99999.0,9023.876666666672,8998.472307692306,-99999.0
22,1525172400000,9037.83000000,9063.66000000,9028.66000000,9035.04000000,566.52633100,555.8288626666663,686.7717873076928,-99999.0,9022.060000000007,9003.089230769228,-99999.0
23,1525174200000,9035.00000000,9043.00000000,8960.01000000,8975.01000000,640.19883000,545.1416273333331,689.8478032307696,-99999.0,9016.350000000008,9005.645384615382,-99999.0
24,1525176000000,8983.94000000,9000.00000000,8896.63000000,8916.49000000,1379.38809500,862.0377519999997,736.2547220769235,-99999.0,8975.513333333342,9004.60615384615,-99999.0
25,1525177800000,8914.41000000,8914.41000000,8800.49000000,8896.63000000,1974.37054000,1331.3191549999995,847.9113823076926,-99999.0,8929.376666666672,8999.271538461537,-99999.0
26,1525179600000,8898.00000000,8936.07000000,8841.28000000,8911.14000000,915.83816700,1423.1989339999993,884.9684482307695,-99999.0,8908.086666666672,8994.35692307692,-99999.0
27,1525181400000,8911.14000000,8944.59000000,8875.01000000,8926.07000000,579.56470300,1156.591136666666,875.0048570000004,-99999.0,8911.280000000006,8989.116153846151,-99999.0
28,1525183200000,8926.07000000,8939.99000000,8888.00000000,8911.01000000,569.84656200,688.4164773333326,859.0613366153849,-99999.0,8916.073333333341,8984.293076923075,-99999.0
29,1525185000000,8912.00000000,8926.58000000,8871.11000000,8915.00000000,873.23007800,674.2137809999994,862.4198093076926,-99999.0,8917.360000000008,8974.07692307692,-99999.0
30,1525186800000,8912.00000000,8949.46000000,8902.00000000,8931.09000000,579.46136100,674.179333666666,834.4967360000003,-99999.0,8919.033333333342,8964.931538461537,-99999.0
31,1525188600000,8931.09000000,8952.00000000,8900.00000000,8915.09000000,575.02711000,675.9061829999994,806.0273318461542,-99999.0,8920.393333333343,8954.169230769228,-99999.0
32,1525190400000,8915.08000000,8973.00000000,8915.08000000,8953.22000000,623.46546600,592.6513123333326,798.2982692307695,-99999.0,8933.133333333344,8947.456153846151,-99999.0
33,1525192200000,8953.04000000,9014.73000000,8944.00000000,8999.99000000,738.70270300,645.7317596666659,803.4092051538465,978.6854161470592,8956.10000000001,8948.059999999998,8974.459705882353
34,1525194000000,8999.99000000,8999.99000000,8946.99000000,8971.97000000,556.05243200,639.4068669999992,813.2055675384619,949.7212317058826,8975.060000000009,8942.903846153844,8970.4
35,1525195800000,8971.97000000,9038.00000000,8963.34000000,8990.00000000,753.64667200,682.8006023333324,827.5994399230773,862.3883441764709,8987.320000000007,8939.439230769229,8971.429117647058
36,1525197600000,8995.88000000,9010.80000000,8970.00000000,8987.16000000,373.08441800,560.9278406666658,807.0521774615389,789.2382998529414,8983.043333333342,8940.373846153843,8973.123823529411
37,1525199400000,8989.99000000,8998.00000000,8930.01000000,8985.00000000,609.73060100,578.8205636666657,747.8477548461542,763.4159405000001,8987.386666666675,8945.643846153844,8972.83
38,1525201200000,8985.00000000,8995.00000000,8962.00000000,8975.03000000,297.44618300,426.75373399999916,618.8535735384619,735.089951029412,8982.396666666675,8951.674615384612,8972.713235294117
39,1525203000000,8978.91000000,9007.54000000,8975.02000000,8979.52000000,326.70636400,411.29438266666585,573.5357425384619,713.7141375882355,8979.850000000008,8956.934615384613,8971.842941176472
40,1525204800000,8986.97000000,9016.31000000,8971.01000000,9012.99000000,346.25415900,323.4689019999992,555.588777615385,699.8955860588237,8989.180000000008,8963.620769230767,8972.813529411766
41,1525206600000,9012.99000000,9056.00000000,8983.70000000,9028.99000000,572.10428700,415.0216033333325,555.7624487692311,690.5056369117648,9007.166666666673,8972.696153846153,8975.489411764705
42,1525208400000,9028.98000000,9114.59000000,9021.96000000,9081.06000000,748.72278400,555.6937433333325,546.184964615385,695.5100059705883,9041.01333333334,8985.47,8978.754117647059
43,1525210200000,9081.06000000,9099.99000000,9075.01000000,9080.02000000,493.96325000,604.9301069999992,539.6081868461542,689.8481764705883,9063.356666666674,8996.926153846154,8981.842352941178
44,1525212000000,9080.02000000,9103.65000000,9075.13000000,9085.00000000,782.82384000,675.1699579999992,555.5925506923081,695.2191534411767,9082.026666666674,9009.996153846154,8986.054705882352
45,1525213800000,9084.09000000,9098.56000000,9032.14000000,9043.87000000,635.33373300,637.3736076666659,556.5054943076927,691.0790235294119,9069.63000000001,9016.96923076923,8989.403823529412
46,1525215600000,9042.46000000,9089.60000000,9032.17000000,9069.34000000,494.63954700,637.599039999999,537.7314053846159,690.2497761764707,9066.070000000009,9022.303846153845,8992.443823529413
47,1525217400000,9065.73000000,9112.00000000,9049.98000000,9071.48000000,752.65121400,627.541497999999,552.854388615385,699.6190380588237,9061.56333333334,9029.95846153846,8995.280588235293
48,1525219200000,9071.48000000,9115.26000000,9071.48000000,9090.00000000,786.33395500,677.8749053333323,555.3687950000004,701.8908782352942,9076.940000000008,9037.650769230768,8998.098235294117
49,1525221000000,9090.00000000,9097.00000000,9020.00000000,9041.66000000,756.42511700,765.1367619999992,584.8565410769235,701.282430882353,9067.713333333342,9041.843076923074,9000.09676470588
50,1525222800000,9045.90000000,9045.90000000,8970.20000000,9008.95000000,567.58328900,703.4474536666659,581.6144401538465,693.5769413529412,9046.870000000008,9043.685384615383,8998.95382352941
51,1525224600000,9008.95000000,9045.55000000,8991.67000000,9032.25000000,646.49225700,656.8335543333325,608.4641381538465,684.8719690882353,9027.62000000001,9048.08692307692,8998.432352941176
52,1525226400000,9032.25000000,9057.00000000,9019.40000000,9025.25000000,462.55064700,558.8753976666659,618.9136983846158,670.6784774117648,9022.15000000001,9051.604615384613,8997.557352941176
53,1525228200000,9029.85000000,9053.51000000,9024.79000000,9047.00000000,355.02714300,488.02334899999914,619.5885433076927,659.8280027941177,9034.833333333341,9054.220769230767,8997.748823529411
54,1525230000000,9047.00000000,9047.00000000,9001.02000000,9027.63000000,501.25628400,439.6113579999992,614.1386969230772,654.7984659705882,9033.293333333342,9054.116153846151,8998.792647058823
55,1525231800000,9027.63000000,9043.76000000,9021.01000000,9039.06000000,352.81319600,403.0322076666659,583.6841132307695,652.5665093529411,9037.896666666675,9050.885384615382,8998.794411764704
56,1525233600000,9039.05000000,9070.90000000,9033.27000000,9059.00000000,391.92760800,415.33236266666586,575.835217692308,647.4312527941175,9041.896666666675,9049.268461538459,8999.499117647058
57,1525235400000,9059.00000000,9092.37000000,9054.66000000,9077.01000000,420.71024700,388.48368366666585,547.9803259230772,640.975706235294,9058.356666666676,9048.653846153842,9002.499117647058
58,1525237200000,9077.01000000,9095.46000000,9065.00000000,9078.44000000,441.85462400,418.16415966666585,533.0973175384618,613.4011923823529,9071.483333333344,9051.313076923074,9007.262352941176
59,1525239000000,9079.98000000,9105.99000000,9060.00000000,9061.36000000,401.18088000,421.24858366666587,525.9081893076925,567.1309082647058,9072.270000000011,9050.699230769229,9012.107352941175
60,1525240800000,9064.99000000,9091.99000000,9060.10000000,9086.98000000,320.30721900,387.7809076666659,492.65095892307716,549.6152921470587,9075.593333333345,9051.891538461536,9017.279117647056
61,1525242600000,9089.00000000,9170.00000000,9079.01000000,9164.00000000,1111.37335800,610.9538189999993,517.6539899230771,565.2567231764705,9104.113333333344,9057.583846153844,9024.277058823527
62,1525244400000,9164.00000000,9170.02000000,9120.00000000,9143.00000000,649.68198200,693.787519666666,509.44297953846177,567.6048237647057,9131.326666666677,9065.379230769227,9031.100294117645
