Date,Open,High,Low,Close,Volume
2018-09-12 04:02:00.000000,8.99E-06,9E-06,8.4E-06,8.4E-06,3246357.57738874
2018-09-12 04:02:00.000000,8.99E-06,9E-06,8.4E-06,8.4E-06,3246357.57738874
2018-09-12 04:03:00.000000,8.49E-06,8.49E-06,8E-06,8.2E-06,2050025.75098301
2018-09-12 04:03:00.000000,8.49E-06,8.49E-06,8E-06,8.2E-06,2050025.75098301
2018-09-12 04:04:00.000000,8.25E-06,8.3E-06,8E-06,8.09E-06,1629235.02593149
2018-09-12 04:04:00.000000,8.25E-06,8.3E-06,8E-06,8.09E-06,1629235.02593149
2018-09-12 04:05:00.000000,8.09E-06,8.32E-06,8.09E-06,8.26E-06,2068957.09459938
2018-09-12 04:05:00.000000,8.09E-06,8.32E-06,8.09E-06,8.26E-06,2068957.09459938
2018-09-12 04:06:00.000000,8.31E-06,8.31E-06,8.1E-06,8.2E-06,895923.59978603
2018-09-12 04:06:00.000000,8.31E-06,8.31E-06,8.1E-06,8.2E-06,895923.59978603
2018-09-12 04:07:00.000000,8.22E-06,8.33E-06,8.19E-06,8.33E-06,1625192.6950264
2018-09-12 04:07:00.000000,8.22E-06,8.33E-06,8.19E-06,8.33E-06,1625192.6950264
2018-09-12 04:08:00.000000,8.33E-06,8.35E-06,8.26E-06,8.32E-06,1792596.23610171
2018-09-12 04:08:00.000000,8.33E-06,8.35E-06,8.26E-06,8.32E-06,1792596.23610171
2018-09-12 04:09:00.000000,8.32E-06,8.47E-06,8.32E-06,8.44E-06,690546.86852294
2018-09-12 04:09:00.000000,8.32E-06,8.47E-06,8.32E-06,8.44E-06,690546.86852294
2018-09-12 04:10:00.000000,8.43E-06,8.47E-06,8.22E-06,8.33E-06,1040589.80091513
2018-09-12 04:10:00.000000,8.43E-06,8.47E-06,8.22E-06,8.33E-06,1040589.80091513
2018-09-12 04:11:00.000000,8.35E-06,8.38E-06,8.28E-06,8.33E-06,586602.58592422
2018-09-12 04:11:00.000000,8.35E-06,8.38E-06,8.28E-06,8.33E-06,586602.58592422
2018-09-12 04:12:00.000000,8.36E-06,8.36E-06,8.24E-06,8.28E-06,846427.42252305
2018-09-12 04:12:00.000000,8.36E-06,8.36E-06,8.24E-06,8.28E-06,846427.42252305
2018-09-12 04:13:00.000000,8.28E-06,8.34E-06,8.28E-06,8.3E-06,463521.61961332
2018-09-12 04:13:00.000000,8.28E-06,8.34E-06,8.28E-06,8.3E-06,463521.61961332
2018-09-12 04:14:00.000000,8.3E-06,8.3E-06,8.25E-06,8.28E-06,456635.6626529
2018-09-12 04:14:00.000000,8.3E-06,8.3E-06,8.25E-06,8.28E-06,456635.6626529
2018-09-12 04:15:00.000000,8.27E-06,8.27E-06,8.12E-06,8.15E-06,1288365.42693543
2018-09-12 04:15:00.000000,8.27E-06,8.27E-06,8.12E-06,8.15E-06,1288365.42693543
2018-09-12 04:16:00.000000,8.19E-06,8.19E-06,7.86E-06,7.92E-06,1245610.69958774
2018-09-12 04:16:00.000000,8.19E-06,8.19E-06,7.86E-06,7.92E-06,1245610.69958774
2018-09-12 04:17:00.000000,7.9E-06,8.05E-06,7.9E-06,7.95E-06,1431592
2018-09-12 04:17:00.000000,7.9E-06,8.05E-06,7.9E-06,7.95E-06,1431592
2018-09-12 04:18:00.000000,7.95E-06,7.95E-06,7.81E-06,7.9E-06,823757
2018-09-12 04:18:00.000000,7.95E-06,7.95E-06,7.81E-06,7.9E-06,823757
2018-09-12 04:19:00.000000,7.89E-06,7.92E-06,7.68E-06,7.7E-06,1485704
2018-09-12 04:19:00.000000,7.89E-06,7.92E-06,7.68E-06,7.7E-06,1485704
2018-09-12 04:20:00.000000,7.68E-06,7.87E-06,7.68E-06,7.85E-06,985810
2018-09-12 04:20:00.000000,7.68E-06,7.87E-06,7.68E-06,7.85E-06,985810
2018-09-12 04:21:00.000000,7.85E-06,7.89E-06,7.73E-06,7.73E-06,586903
2018-09-12 04:21:00.000000,7.85E-06,7.89E-06,7.73E-06,7.73E-06,586903
2018-09-12 04:22:00.000000,7.73E-06,7.75E-06,7.6E-06,7.63E-06,480075
2018-09-12 04:22:00.000000,7.73E-06,7.75E-06,7.6E-06,7.63E-06,480075
2018-09-12 04:23:00.000000,7.6E-06,7.67E-06,7.59E-06,7.64E-06,129369
2018-09-12 04:23:00.000000,7.6E-06,7.67E-06,7.59E-06,7.64E-06,129369
2018-09-12 04:24:00.000000,7.64E-06,7.83E-06,7.59E-06,7.83E-06,979851
2018-09-12 04:24:00.000000,7.64E-06,7.83E-06,7.59E-06,7.83E-06,979851
2018-09-12 04:25:00.000000,7.83E-06,7.96E-06,7.72E-06,7.75E-06,1902265
2018-09-12 04:25:00.000000,7.83E-06,7.96E-06,7.72E-06,7.75E-06,1902265
2018-09-12 04:26:00.000000,7.83E-06,7.92E-06,7.76E-06,7.86E-06,692261
2018-09-12 04:26:00.000000,7.83E-06,7.92E-06,7.76E-06,7.86E-06,692261
2018-09-12 04:27:00.000000,7.86E-06,7.88E-06,7.76E-06,7.77E-06,134467
2018-09-12 04:27:00.000000,7.86E-06,7.88E-06,7.76E-06,7.77E-06,134467
2018-09-12 04:28:00.000000,7.77E-06,7.77E-06,7.72E-06,7.72E-06,305602
